Designator,Mid X,Mid Y,Layer,Rotation
C1,78.100000mm,-60.720000mm,Top,-90
C2,78.100000mm,-58.820000mm,Top,90
C3,74.100000mm,-53.900000mm,Top,180
C4,83.700000mm,-65.100000mm,Top,180
C5,84.200000mm,-54.400000mm,Top,0
D1,74.300000mm,-49.500000mm,Top,0
D2,74.300000mm,-51.600000mm,Top,0
D3,74.300000mm,-47.300000mm,Top,0
J1,78.000000mm,-71.610000mm,Top,0
J2,65.400000mm,-48.500000mm,Top,0
J3,90.600000mm,-48.500000mm,Top,0
R1,77.200000mm,-50.100000mm,Top,180
R2,77.200000mm,-51.300000mm,Top,180
R3,75.200000mm,-65.700000mm,Top,180
R4,80.700000mm,-65.700000mm,Top,0
R5,72.573949mm,-62.899557mm,Top,90
R6,70.656627mm,-62.892734mm,Top,90
R7,78.136453mm,-56.427734mm,Top,-90
R8,77.200000mm,-49.000000mm,Top,0
R9,81.400000mm,-54.600000mm,Top,180
R10,79.500000mm,-54.600000mm,Top,0
U1,75.400000mm,-62.300000mm,Top,90
U2,74.900000mm,-57.200000mm,Top,90
U3,82.200000mm,-59.650000mm,Top,90
